,price,type,address,url,agent_url,postcode,number_bedrooms,search_date,loc
382,200000.0,1 bedroom flat for sale,"Bellevue Road , Bellevue, Edinburgh, EH7",http://www.rightmove.co.uk/properties/100403492,http://www.rightmove.co.uk/estate-agents/agent/Belvoir-Sales/Edinburgh-194357.html,EH7,1.0,2021-01-17 16:42:17.951429,"Bellevue Road, Broughton, New Town/Broughton, City of Edinburgh, Scotland, EH7 4DA, United Kingdom"
383,200000.0,2 bedroom flat for sale,"2 (2F2) Grove Street, Edinburgh, EH3 8BB",http://www.rightmove.co.uk/properties/101001005,http://www.rightmove.co.uk/estate-agents/agent/D-J-Alexander/Edinburgh-51311.html,EH3,2.0,2021-01-17 16:42:17.951429,"Platform 2, Waverley Concourse, Old Town, City of Edinburgh, Scotland, United Kingdom"
384,199999.0,1 bedroom apartment for sale,"Well Court, Dean Village, Edinburgh, EH4",http://www.rightmove.co.uk/properties/75618363,http://www.rightmove.co.uk/estate-agents/agent/Keller-Williams-Evolve/Scotland-209498.html,EH4,1.0,2021-01-17 16:42:17.951429,"Well Court, Dean Village, West End, City of Edinburgh, Scotland, EH4 3BE, United Kingdom"
385,199995.0,2 bedroom flat for sale,"47 (1F2), Brunswick Road, Brunswick, Edinburgh, EH7 5PD",http://www.rightmove.co.uk/properties/84449023,http://www.rightmove.co.uk/estate-agents/agent/Warners-Solicitors/Edinburgh-91640.html,EH7,2.0,2021-01-17 16:42:17.951429,
386,199995.0,2 bedroom ground floor flat for sale,"21 Well Court, Dean Path, Edinburgh EH4 3BE",http://www.rightmove.co.uk/properties/87593770,http://www.rightmove.co.uk/estate-agents/agent/Sturrock-Armstrong-and-Thomson/Edinburgh-63185.html,EH4,2.0,2021-01-17 16:42:17.951429,
387,199000.0,1 bedroom flat for sale,"36 Polwarth Crescent, Polwarth, Edinburgh",http://www.rightmove.co.uk/properties/100794428,http://www.rightmove.co.uk/estate-agents/agent/Ballantynes/Edinburgh-49877.html,,1.0,2021-01-17 16:42:17.951429,"DJ Clark Decorators, 36, Polwarth Crescent, Polwarth, Merchiston, City of Edinburgh, Scotland, EH11 1HS, United Kingdom"
388,195000.0,2 bedroom flat for sale,"Upper Grove Place, Fountainbridge, Edinburgh, EH3",http://www.rightmove.co.uk/properties/83453248,http://www.rightmove.co.uk/estate-agents/agent/MOV8-Real-Estate-Principal-GPM-Branch/Scotland-Head-Office-138737.html,EH3,2.0,2021-01-17 16:42:17.951429,"Upper Grove Place, Fountainbridge, City of Edinburgh, Scotland, EH3 8AU, United Kingdom"
389,195000.0,2 bedroom flat for sale,"8/4 St Clair Road, Leith, EH6 8JY",http://www.rightmove.co.uk/properties/88299850,http://www.rightmove.co.uk/estate-agents/agent/Coulters/Stockbridge-95110.html,EH6,2.0,2021-01-17 16:42:17.951429,"St Clair Road, Lorne, Leith Central, City of Edinburgh, Scotland, EH6 8JY, United Kingdom"
390,195000.0,1 bedroom apartment for sale,"35/14 Leith Street, City Centre, Edinburgh, EH1",http://www.rightmove.co.uk/properties/86582407,http://www.rightmove.co.uk/estate-agents/agent/Savills/Edinburgh-161225.html,EH1,1.0,2021-01-17 16:42:17.951429,
391,195000.0,2 bedroom flat for sale,"45/12 James Square, Edinburgh, EH11 2AQ",http://www.rightmove.co.uk/properties/95175575,http://www.rightmove.co.uk/estate-agents/agent/D-J-Alexander/Edinburgh-51311.html,EH11,2.0,2021-01-17 16:42:17.951429,
392,195000.0,1 bedroom flat for sale,"Henderson Row, Edinburgh",http://www.rightmove.co.uk/properties/76073589,http://www.rightmove.co.uk/estate-agents/agent/KnightBain-Estate-Agents/Broxburn-46353.html,,1.0,2021-01-17 16:42:17.951429,"Henderson Row, Silvermills, New Town/Broughton, City of Edinburgh, Scotland, EH3 5DH, United Kingdom"
